0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2024年1月7日（日曜） 1回中山2日,5,8,14,ニシノティアモ,牝3,55.0,田辺 裕信,1:34.3,１ 1/4,11107,34.6,434(+2),上原 佑紀,10
2024年1月7日（日曜） 1回中山2日,6,6,9,キャットファイト,牝3,55.0,坂井 瑠星,1:34.3,アタマ,122,35.3,446(+4),上原 博之,2
2024年1月7日（日曜） 1回中山2日,7,7,11,テリオスサラ,牝3,55.0,石橋 脩,1:34.4,クビ,141413,34.1,474(0),高柳 瑞樹,3
2024年1月7日（日曜） 1回中山2日,8,4,5,ティンク,牝3,55.0,佐々木 大輔,1:34.4,クビ,444,35.1,488(-4),久保田 貴士,11
2024年1月7日（日曜） 1回中山2日,9,6,10,キャプテンネキ,牝3,55.0,R.ピーヒュレク,1:34.4,クビ,232,35.3,530(+2),杉山 晴紀,12
2024年1月7日（日曜） 1回中山2日,10,3,4,メイショウヨゾラ,牝3,55.0,三浦 皇成,1:34.4,アタマ,444,35.2,468(-12),高柳 瑞樹,7
2024年1月7日（日曜） 1回中山2日,11,5,8,カレンナオトメ,牝3,55.0,菅原 明良,1:34.6,３／４,11109,34.9,418(+6),小野 次郎,13
2024年1月7日（日曜） 1回中山2日,12,7,12,ジークルーネ,牝3,55.0,R.キングスコート,1:35.4,５,211,36.5,454(+2),栗田 徹,8
2024年1月7日（日曜） 1回中山2日,13,2,2,エリカリーシャン,牝3,55.0,横山 和生,1:35.5,１／２,889,35.9,476(+6),国枝 栄,9
2024年1月7日（日曜） 1回中山2日,14,5,7,メジャーデビュー,牝3,55.0,丹内 祐次,1:35.9,２ 1/2,7813,36.3,424(-10),鈴木 慎太郎,14
2024年1月8日（祝日・月曜） 1回京都3日,1,3,5,ノーブルロジャー,牡3,57.0,川田 将雅,1:34.5,,107,35.7,484(+8),吉岡 辰弥,3
2024年1月8日（祝日・月曜） 1回京都3日,2,7,13,エコロブルーム,牡3,57.0,C.ルメール,1:34.7,１ 1/4,44,36.1,464(-4),加藤 征弘,1
2024年1月8日（祝日・月曜） 1回京都3日,3,7,14,ウォーターリヒト,牡3,57.0,幸 英明,1:34.7,アタマ,1716,35.2,458(-4),河内 洋,17
2024年1月8日（祝日・月曜） 1回京都3日,4,3,6,ラーンザロープス,牝3,55.0,横山 典弘,1:34.8,１／２,44,36.2,444(+6),武 幸四郎,10
2024年1月8日（祝日・月曜） 1回京都3日,5,8,16,ショーマンフリート,牡3,57.0,戸崎 圭太,1:35.1,１ 3/4,64,36.4,504(+18),手塚 貴久,2
2024年1月8日（祝日・月曜） 1回京都3日,6,1,1,テイエムリステット,牡3,57.0,酒井 学,1:35.1,クビ,67,36.3,466(+2),木原 一良,16
2024年1月8日（祝日・月曜） 1回京都3日,7,5,9,アルトゥーム,牡3,57.0,藤岡 佑介,1:35.1,ハナ,1616,35.6,438(+4),藤岡 健一,6
2024年1月8日（祝日・月曜） 1回京都3日,8,4,8,ゼルトザーム,牡3,57.0,北村 友一,1:35.2,クビ,11,36.8,464(+7),加用 正,18
